gidx	chrom	start	end	srd	tpm	IQR	gid	n_tss
g1429	B01	107866812	107867544	-	26.96624653584791	372	Zm00001d030129	2
g1430	B01	108004753	108005026	-	14.659301911186516	132	Zm00001d030130	1
g1431	B01	108197350	108197741	-	51.66633000642398	9	Zm00001d030131	1
g1432	B01	108208970	108209029	-	3.5393857707413225	3	Zm00001d030132	1
g1433	B01	108288306	108289062	-	54.49586210155784	284	Zm00001d030133	2
g1434	B01	108427093	108427297	-	50.98330140203456	48	Zm00001d030138	1
g1435	B01	108591708	108591797	+	0.7971491670843397	71	Zm00001d030143	1
g1436	B01	108666003	108666157	-	25.912276210094735	42	Zm00001d030146	1
g1437	B01	108714425	108714688	+	18.95322407684054	138	Zm00001d030148	1
g1438	B01	108726893	108726894	-	0.2948944895691266	1	Zm00001d030149	1
g1439	B01	109045930	109046061	+	8.957607109509054	14	Zm00001d030152	1
g1440	B01	109048816	109049000	-	13.95765213971724	62	Zm00001d030153	1
g1441	B01	109224874	109225028	-	2.640923006267094	66	Zm00001d030154	1
g1442	B01	109413429	109413702	-	6.604312939665446	87	Zm00001d030157	1
g1443	B01	109420874	109421424	-	11.46644723322596	219	Zm00001d030158	2
g1444	B01	109472756	109473074	-	100.03076128797562	41	Zm00001d030159	1
g1445	B01	109742018	109742824	+	101.01650539818479	413	Zm00001d030163	3
g1446	B01	109844599	109845213	+	20.64265864251022	88	Zm00001d030164	2
g1447	B01	109911683	109911753	-	0.36124813051700083	41	Zm00001d030165	1
g1448	B01	110007739	110007926	-	17.327295076107504	72	Zm00001d030166	1
g1449	B01	110013547	110013681	-	3.113008834674247	31	Zm00001d030167	1
g1450	B01	110297244	110297480	+	4.026870317115691	124	Zm00001d030171	1
g1451	B01	110388997	110389224	-	25.128154825649446	77	Zm00001d030173	1
g1452	B01	110786735	110786750	-	0.4363154402640658	0	Zm00001d030177	1
g1453	B01	110825721	110825729	+	0.40532370507951737	4	Zm00001d030180	1
g1454	B01	111082179	111082367	-	5.201689988826979	124	Zm00001d030181	2
g1455	B01	111872664	111872876	+	5.133433083345852	114	Zm00001d030184	1
g1456	B01	112127345	112127845	-	10.350728043094282	441	Zm00001d030191	1
g1457	B01	112586049	112586092	-	3.497169720748034	7	Zm00001d030194	1
g1458	B01	112977904	112978108	+	57.26992952667624	2	Zm00001d030199	1
g1459	B01	113121808	113121890	+	3.2574814875127256	38	Zm00001d030207	1
g1460	B01	113399271	113399292	+	2.143380521245261	7	Zm00001d030212	1
g1461	B01	113434479	113434664	+	1.8533387016983536	77	Zm00001d030213	1
g1462	B01	113696733	113696953	+	22.839343996227917	103	Zm00001d030217	1
g1463	B01	113772449	113772651	-	2.2673710401918896	151	Zm00001d030220	1
g1464	B01	114073716	114073765	-	2.9373102864385308	4	Zm00001d030222	1
g1465	B01	114444377	114444426	+	0.8044411179984676	34	Zm00001d030227	1
g1466	B01	114679614	114679797	-	18.3760791596804	3	Zm00001d030230	1
g1467	B01	114871421	114871561	+	1.966782522324648	67	Zm00001d030231	1
g1468	B01	114930796	114930823	-	0.5186770271882266	5	Zm00001d030232	1
g1469	B01	115183341	115183596	-	4.786948454765623	200	Zm00001d030235	2
g1470	B01	115460872	115461224	-	21.224148429358944	101	Zm00001d030239	1
g1471	B01	115467540	115467549	+	2.7131225712791576	0	Zm00001d030240	1
g1472	B01	116932917	116932950	-	0.4628076619415632	31	Zm00001d030253	1
g1473	B01	117002453	117002687	+	8.131486961918526	53	Zm00001d030256	1
g1474	B01	117372487	117372570	-	0.3991055761704513	67	Zm00001d030264	1
g1475	B01	117619901	117620175	+	7.04595511502792	166	Zm00001d030266	1
g1476	B01	117874199	117874242	-	3.745000157511673	5	Zm00001d030267	1
g1477	B01	118877608	118879156	-	27.210796448567134	1376	Zm00001d030282	4
g1478	B01	119493648	119493843	-	5.197515127398832	146	Zm00001d030285	1
g1479	B01	119847595	119847709	-	2.021852552230256	105	Zm00001d030290	2
g1480	B01	120060617	120060731	-	0.35482089530432104	42	Zm00001d030295	1
g1481	B01	120263102	120263158	+	1.040025170675892	0	Zm00001d030297	1
g1482	B01	120673739	120673912	+	3.80949869427124	70	Zm00001d030299	1
g1483	B01	120741688	120741828	-	0.9612990250400602	116	Zm00001d030300	1
g1484	B01	121008037	121008398	-	17.471388219935253	240	Zm00001d030303	1
g1485	B01	121172007	121172463	+	12.488444130735626	9	Zm00001d030304	3
g1486	B01	121211805	121211891	+	33.37136863340263	3	Zm00001d030305	1
g1487	B01	121352617	121352977	+	3.100432261727479	237	Zm00001d030308	2
g1488	B01	121462271	121462313	-	10.158945477768826	9	Zm00001d030310	1
g1489	B01	121821660	121821840	-	130.01289993601804	6	Zm00001d030314	1
g1490	B01	122018790	122019089	+	496.1469957464927	3	Zm00001d030316	1
g1491	B01	122084074	122084115	-	14.386912131560331	0	Zm00001d030317	1
g1492	B01	122697955	122697993	-	5.367577719058541	2	Zm00001d030328	1
g1493	B01	123277166	123277237	-	6.875532200126227	4	Zm00001d030338	1
g1494	B01	123359715	123359750	-	6.126851106270359	5	Zm00001d030339	1
g1495	B01	123467711	123467856	-	5.1209420603542695	44	Zm00001d030342	1
g1496	B01	123709220	123709361	-	3.804275379739324	5	Zm00001d030343	1
g1497	B01	123931153	123931349	-	9.26165382212262	29	Zm00001d030345	1
g1498	B01	124048221	124048467	-	44.02515532756029	2	Zm00001d030346	1
g1499	B01	124405375	124405463	-	1.7890431666732673	9	Zm00001d030348	1
g1500	B01	124516282	124516286	-	0.32877155448855677	4	Zm00001d030350	1
g1501	B01	125522566	125522589	+	0.6501388799666067	15	Zm00001d022801	1
g1502	B01	125678380	125679141	-	6.932327834168626	93	Zm00001d030357	2
g1503	B01	126093095	126093324	+	11.765055398817333	87	Zm00001d030361	1
g1504	B01	126441258	126441492	-	13.935415141799371	40	Zm00001d030363	1
g1505	B01	126666799	126667076	-	4.191681997781858	166	Zm00001d030366	1
g1506	B01	126797449	126797759	+	5.128952356701478	109	Zm00001d030370	1
g1507	B01	126990712	126990885	+	1.7581128230046894	128	Zm00001d030372	2
g1508	B01	127227735	127227875	-	13.385281693116712	7	Zm00001d030373	1
g1509	B01	127556616	127556860	-	6.563821020050305	103	Zm00001d030381	1
g1510	B01	127960955	127960959	-	1.7648006801354437	1	Zm00001d022803	1
g1511	B01	127967708	127967899	-	8.31967205368523	83	Zm00001d030385	1
g1512	B01	128840448	128840485	+	0.5058696120889478	7	Zm00001d030391	1
g1513	B01	128962545	128962553	-	0.33952938224803797	2	Zm00001d030393	1
g1514	B01	129274531	129274634	-	7.918329932544271	14	Zm00001d030398	1
g1515	B01	130029293	130029294	+	0.8538561070933435	0	Zm00001d030406	1
g1516	B01	130366738	130366972	-	12.012656545121638	98	Zm00001d030411	1
g1517	B01	131300751	131300962	-	14.145337476754548	86	Zm00001d030421	1
g1518	B01	131550028	131550059	-	1.9249812530471802	2	Zm00001d030424	1
g1519	B01	134046535	134046953	-	140.56265744599636	118	ENSRNA049478409	5
g1520	B01	134047049	134047596	-	47.4504334495416	316	ENSRNA049478400	3
g1521	B01	135245406	135245566	-	15.550119797116457	90	Zm00001d030471	1
g1522	B01	136610568	136610673	+	1.0368717857489174	83	Zm00001d030479	1
g1523	B01	138703282	138703387	+	3.3676898125084707	42	Zm00001d030496	1
g1524	B01	139331842	139331851	+	1.2101738162254516	5	Zm00001d030498	1
g1525	B01	140169937	140169988	-	5.324376091883844	14	Zm00001d030507	1
g1526	B01	140235541	140235624	+	0.6489240922893605	53	Zm00001d030508	1
g1527	B01	140364643	140364946	+	214.82601994514067	52	Zm00001d030509	1
g1528	B01	140851053	140851231	-	1.4215894528613024	104	Zm00001d030516	1
g1529	B01	140886321	140886563	-	14.72860947694601	126	Zm00001d030518	1
g1530	B01	141151909	141152043	+	8.729330927081259	89	Zm00001d030523	1
g1531	B01	141705681	141706721	+	19.163347843286154	329	Zm00001d030526	4
g1532	B01	141837951	141838189	+	14.90510492100069	137	Zm00001d030527	1
g1533	B01	142030929	142030999	+	3.7844189051140353	3	Zm00001d030529	1
g1534	B01	142032077	142032326	-	54.38115981793397	3	Zm00001d030530	1
g1535	B01	142193058	142193183	+	1.566869843883906	112	Zm00001d030532	2
g1536	B01	142273193	142273479	-	21.017994391294184	106	Zm00001d030533	1
g1537	B01	142487691	142487798	-	0.5102712796522797	65	Zm00001d030537	1
g1538	B01	142965389	142965489	-	3.775811181125614	47	Zm00001d030544	1
g1539	B01	143163535	143163543	+	0.6178883737483097	4	Zm00001d030548	1
g1540	B01	143229120	143229132	+	1.3958300597269353	0	ENSRNA049472786	1
g1541	B01	143232464	143232668	-	10.862984659116709	92	Zm00001d030549	1
g1542	B01	143321322	143322774	-	30.12606583738211	104	Zm00001d030551	2
g1543	B01	143510768	143511254	-	11.355256989296779	424	Zm00001d030554	2
g1544	B01	143649062	143649083	+	0.6514177263971888	9	Zm00001d030555	1
g1545	B01	143749997	143750212	+	5.602943509843018	128	Zm00001d030556	2
g1546	B01	143971169	143971419	+	113.51513615618747	3	Zm00001d030557	1
g1547	B01	144156352	144156595	-	6.74467630817519	65	Zm00001d030561	2
g1548	B01	145543714	145543718	+	0.35802858766707724	1	Zm00001d030577	1
g1549	B01	145680643	145680737	-	0.6329281667245424	47	Zm00001d030578	1
g1550	B01	145820488	145820688	+	14.291161751025683	57	Zm00001d030579	1
g1551	B01	146080032	146080214	-	5.461388563014253	51	Zm00001d030581	1
g1552	B01	146389956	146390087	+	2.203979829648223	52	Zm00001d030584	1
g1553	B01	146632712	146632838	-	2.0844043767405545	68	Zm00001d030588	1
g1554	B01	147223435	147223647	-	8.873649386044312	35	Zm00001d030593	1
g1555	B01	147514972	147515060	+	15.798354191445263	67	Zm00001d030598	1
g1556	B01	147641360	147641555	-	5.7161224258264625	121	Zm00001d030601	1
g1557	B01	148162060	148162382	+	8.893582922733756	53	Zm00001d030609	1
g1558	B01	148425779	148425869	-	2.663117800832971	71	Zm00001d030612	1
g1559	B01	148635329	148635370	-	1.110915943726345	7	Zm00001d030613	1
g1560	B01	148692060	148692139	-	2.1430879767118722	13	Zm00001d030614	1
g1561	B01	148806076	148806553	+	188.0383811484396	234	Zm00001d030617	1
g1562	B01	148978297	148978555	-	9.302060204149113	116	Zm00001d030620	1
g1563	B01	149358952	149359331	-	22.442000353790895	201	Zm00001d030623	3
g1564	B01	149517736	149518215	+	9.578190056233314	236	Zm00001d030624	2
g1565	B01	149605185	149605466	+	6.006195907071617	141	Zm00001d030626	1
g1566	B01	149688159	149688263	+	3.3803077104476977	58	Zm00001d030627	1
g1567	B01	150129880	150129993	-	18.483038157244344	19	Zm00001d030638	1
g1568	B01	150287566	150287744	+	13.717512827221933	30	Zm00001d030640	1
g1569	B01	150363175	150363178	+	1.98492215761285	1	Zm00001d030642	1
g1570	B01	150485391	150485401	-	0.34941773461031617	4	Zm00001d030644	1
g1571	B01	151029654	151029822	-	4.943297620049915	85	Zm00001d030652	1
g1572	B01	151221333	151221394	+	0.4445865915873261	2	Zm00001d030656	1
g1573	B01	151229835	151230112	-	50.009820613131	81	Zm00001d030657	1
g1574	B01	151464192	151464384	+	7.733583802677301	54	Zm00001d030659	1
g1575	B01	151874625	151874740	+	5.544333554326464	26	Zm00001d030665	1
g1576	B01	152032087	152032263	+	4.353716849361891	122	Zm00001d030666	1
g1577	B01	152108093	152108147	+	1.9239862096170992	4	Zm00001d030667	1
g1578	B01	152153050	152153070	-	1.9017966459729196	5	Zm00001d030670	1
g1579	B01	152405162	152405411	-	3.8693455442320412	195	Zm00001d030675	2
g1580	B01	152410198	152410383	-	13.635537809515531	59	Zm00001d030676	1
g1581	B01	152629428	152629583	+	6.151618993531797	33	Zm00001d030677	1
g1582	B01	152669306	152669317	-	3.001598417705449	4	Zm00001d030678	1
g1583	B01	152852657	152852817	+	6.4263841401890724	82	Zm00001d030683	1
g1584	B01	152991995	152992200	+	27.76328507788678	49	Zm00001d030688	1
g1585	B01	153047202	153047214	+	0.8133478871801035	6	Zm00001d022828	1
g1586	B01	153223915	153224119	+	88.64174934150049	5	Zm00001d030690	1
g1587	B01	153357336	153357476	+	97.12208064657155	6	Zm00001d030691	1
g1588	B01	153742815	153742982	+	21.131980288889157	39	Zm00001d030694	1
g1589	B01	154092379	154092513	-	10.281217103561012	71	Zm00001d030697	1
g1590	B01	154144131	154144311	+	24.824547094733525	6	Zm00001d030698	2
g1591	B01	154400137	154400218	+	1.9479998516837989	36	Zm00001d030701	1
g1592	B01	155481260	155481294	-	0.40631174539835047	25	Zm00001d030717	1
g1593	B01	155959464	155959740	+	121.1183976804583	10	Zm00001d030725	1
g1594	B01	156208835	156209371	+	5.631519428503844	425	Zm00001d030727	2
g1595	B01	156421565	156421685	-	8.677461737804494	10	Zm00001d030732	1
g1596	B01	157125244	157125454	-	12.192602912669228	122	Zm00001d030739	1
g1597	B01	157497126	157497232	+	1.7335030708387462	97	Zm00001d030742	1
g1598	B01	157565515	157566154	+	45.676051903354264	307	Zm00001d030744	1
g1599	B01	158031766	158031911	+	5.768507537524488	64	Zm00001d030748	1
g1600	B01	158117346	158117362	+	1.457136903867686	5	Zm00001d030750	1
g1601	B01	158392500	158392705	-	9.87136498466799	56	Zm00001d030759	1
g1602	B01	158446171	158446285	-	2.2172292910601117	74	Zm00001d030760	1
g1603	B01	158763970	158764041	-	3.739536697528011	26	Zm00001d022836	1
g1604	B01	158943981	158944113	-	33.133003727356254	51	Zm00001d030762	1
g1605	B01	158954994	158957529	+	2.5843397122428136	2457	Zm00001d030765	2
g1606	B01	159018336	159018486	+	1.3212595006431445	91	Zm00001d030766	1
g1607	B01	159024346	159024443	-	0.3956421269186496	78	Zm00001d030767	1
g1608	B01	159029848	159029947	-	2.567482769578083	58	Zm00001d030770	1
g1609	B01	159067085	159067400	-	5.988585352692523	228	Zm00001d030772	1
g1610	B01	159112587	159112797	+	24.344461510730053	49	Zm00001d030774	1
g1611	B01	159139162	159139709	+	27.10389018930879	3	Zm00001d030775	3
g1612	B01	159581909	159582029	-	2.0215727568836175	101	Zm00001d030784	1
g1613	B01	159716282	159716437	+	23.878813430380557	25	Zm00001d030786	1
g1614	B01	159877873	159878449	+	14.385029074030124	154	Zm00001d030790	1
g1615	B01	159889208	159889245	-	0.513040513084934	30	Zm00001d030791	1
g1616	B01	160033524	160033874	-	14.608772142578863	76	Zm00001d030795	2
g1617	B01	160092395	160092502	-	5.893765830873945	45	Zm00001d030796	1
g1618	B01	160155865	160155892	+	0.3360109161591802	15	Zm00001d030797	1
g1619	B01	161357529	161357598	-	0.5379956909889599	48	Zm00001d030812	1
g1620	B01	162231673	162231805	+	4.551057371668137	52	Zm00001d030832	1
g1621	B01	162279652	162279671	+	1.9389995586318323	4	Zm00001d030834	1
g1622	B01	162455069	162455285	+	3.61507100451616	120	Zm00001d030837	2
g1623	B01	162683602	162684790	+	173.71089716262685	744	Zm00001d030841	2
g1624	B01	162769442	162769475	-	1.0971105881765657	4	Zm00001d030843	1
g1625	B01	162879733	162879765	-	0.6222514185496906	14	Zm00001d030845	1
g1626	B01	162960476	162960619	-	4.001599301119276	78	Zm00001d030846	1
g1627	B01	163154422	163154729	+	13.135882425515868	92	Zm00001d030849	2
g1628	B01	163240998	163241108	-	6.521718235753273	57	Zm00001d030851	1
g1629	B01	163696865	163697245	+	5.125007987109101	261	Zm00001d030858	3
g1630	B01	163875137	163875294	+	20.898254932339764	23	Zm00001d030859	1
g1631	B01	164016873	164017006	+	1.9664182090727225	70	Zm00001d030860	1
g1632	B01	164034980	164034982	+	0.5335426838912914	0	Zm00001d030862	1
g1633	B01	164042007	164042164	-	7.852652746701083	9	Zm00001d030863	1
g1634	B01	164077651	164077722	-	3.561375374146774	19	Zm00001d030864	1
g1635	B01	164151412	164151575	-	1.046537396980702	123	Zm00001d030867	2
g1636	B01	164196606	164197744	+	25.014165683156904	677	Zm00001d030868	4
g1637	B01	165741013	165741271	+	12.94377681847922	119	Zm00001d030888	2
g1638	B01	166012090	166012415	-	4.530284029209327	266	Zm00001d030891	2
g1639	B01	166128583	166128828	+	3.2681108474373324	88	Zm00001d030892	1
g1640	B01	166141948	166142408	+	10.761759163345706	297	Zm00001d030893	2
g1641	B01	166197006	166197033	-	0.33075575333132745	5	Zm00001d030894	1
g1642	B01	166290003	166290145	-	25.6165820550798	8	Zm00001d030895	1
g1643	B01	166300882	166300900	-	0.56247877188071	10	Zm00001d030897	1
g1644	B01	166623469	166623973	+	19.120438905538563	207	Zm00001d030900	1
g1645	B01	166630713	166630943	+	8.856543528349311	92	Zm00001d030902	1
g1646	B01	166741904	166741959	+	1.8672215908417678	33	Zm00001d030907	1
g1647	B01	166766660	166766883	-	8.111475589288705	58	Zm00001d030910	1
g1648	B01	167087073	167087126	+	7.854897297380241	6	Zm00001d030915	1
g1649	B01	167093570	167093990	-	27.663341401671417	99	Zm00001d030916	1
g1650	B01	167327724	167327733	-	0.8140461980091348	2	Zm00001d030918	1
g1651	B01	167346403	167346411	-	1.701399873926411	5	Zm00001d030919	1
g1652	B01	167682798	167683197	+	35.67061505777751	174	Zm00001d030934	1
g1653	B01	168021360	168021561	+	4.580891263722817	95	Zm00001d030935	1
g1654	B01	168185251	168185504	-	1.3953701282713462	245	Zm00001d030936	2
g1655	B01	168391126	168391280	+	5.622600941773889	94	Zm00001d030937	1
g1656	B01	168404469	168404628	-	3.134815703252714	86	Zm00001d030939	1
g1657	B01	168453722	168453984	+	3.5735383400116256	164	Zm00001d030940	1
g1658	B01	168486962	168486985	+	1.2321429908004873	8	Zm00001d030941	1
g1659	B01	168488209	168488303	+	2.3192094170788295	29	Zm00001d030942	1
g1660	B01	168497374	168497554	-	4.466942485394053	103	Zm00001d030944	1
g1661	B01	168548999	168549304	+	6.960881145048404	108	Zm00001d030945	1
g1662	B01	168645412	168645537	-	0.9411697268140354	65	Zm00001d030951	1
g1663	B01	168646038	168646162	+	1.9759768673318077	25	Zm00001d030952	1
g1664	B01	168703848	168704552	+	7.958125543103255	456	Zm00001d030953	2
g1665	B01	168741676	168742172	+	11.441347325431838	351	Zm00001d030954	2
g1666	B01	168915139	168915469	+	13.219536156956996	94	Zm00001d030955	1
g1667	B01	169037504	169037529	+	2.8501922488306604	0	Zm00001d030958	1
g1668	B01	169229500	169229642	+	5.406491174454965	67	Zm00001d030960	1
g1669	B01	169330557	169330652	-	2.1035593832466732	12	Zm00001d030962	1
g1670	B01	169609060	169609317	-	8.282016912181424	141	Zm00001d030967	1
g1671	B01	169609568	169609746	+	10.172449540527209	13	Zm00001d030968	1
g1672	B01	169643857	169643906	-	0.8217073394727334	28	Zm00001d030969	1
g1673	B01	171818539	171818636	+	0.39910988972548544	57	Zm00001d030982	1
g1674	B01	172071564	172071684	-	0.4957022668390212	97	Zm00001d030985	1
g1675	B01	172181853	172183358	-	13.185821307214075	1139	Zm00001d022856	4
g1676	B01	172183543	172183908	-	48.424629349471026	23	Zm00001d030989	2
g1677	B01	172352589	172352619	+	0.5506682928800434	11	Zm00001d030990	1
g1678	B01	172413998	172414198	+	1.7227193430122696	120	Zm00001d030993	1
g1679	B01	172452551	172456561	+	12.4750834308511	12	Zm00001d030995	2
g1680	B01	172567715	172568003	-	28.259484129120366	63	Zm00001d030996	1
g1681	B01	172611534	172611543	-	0.590491508060155	4	Zm00001d030997	1
g1682	B01	172712859	172713053	+	1.0701355197100388	111	Zm00001d030998	1
g1683	B01	172724981	172725232	-	9.346583953224501	161	Zm00001d030999	1
g1684	B01	172839330	172839440	-	5.945922607493176	66	Zm00001d031002	1
g1685	B01	172963928	172964193	-	2.654561435478225	178	Zm00001d031005	1
g1686	B01	173140401	173140472	-	4.215742242020207	17	Zm00001d031008	1
g1687	B01	173189850	173190183	-	15.8418924779521	49	Zm00001d031009	2
g1688	B01	173396119	173396640	+	21.3875402582743	70	Zm00001d031013	2
g1689	B01	173440958	173441159	+	8.477085814672071	110	Zm00001d031014	1
g1690	B01	173580576	173580678	-	2.0541398004125626	56	Zm00001d022860	1
g1691	B01	173937034	173937230	+	11.919490037595796	71	Zm00001d031019	1
g1692	B01	174052081	174052371	-	20.085144453836378	165	Zm00001d031024	1
g1693	B01	174114182	174114383	-	7.052564062825064	95	Zm00001d031026	1
g1694	B01	174127501	174127858	+	5.05302116949039	218	Zm00001d031028	2
g1695	B01	174663721	174663721	+	0.500758682791989	0	Zm00001d031038	1
g1696	B01	174747494	174747743	-	3.999117762071416	131	Zm00001d031040	1
g1697	B01	174748244	174748343	+	3.1436915634496003	43	Zm00001d031041	1
g1698	B01	174835308	174835369	-	6.068332950604426	7	Zm00001d031047	1
g1699	B01	174843984	174844074	-	1.872389197439292	26	Zm00001d031049	1
g1700	B01	174876392	174876461	-	1.4030671628975928	26	Zm00001d031050	1
g1701	B01	175149378	175149592	+	19.01195781016062	45	Zm00001d031058	1
g1702	B01	175161889	175162289	-	8.768133448400405	247	Zm00001d031059	2
g1703	B01	175169617	175169811	-	8.24203225051954	12	Zm00001d031060	1
g1704	B01	175175949	175175965	-	0.4549586426194871	4	Zm00001d031061	1
g1705	B01	175258655	175258788	+	2.562244662636123	78	Zm00001d031062	1
g1706	B01	175268908	175269035	-	2.5702637809819926	59	Zm00001d031063	1
g1707	B01	175379100	175379235	-	4.518244756465923	57	Zm00001d031064	1
g1708	B01	175604783	175604937	+	5.728158917188749	76	Zm00001d031065	1
g1709	B01	175971189	175971650	-	54.28471786440808	81	Zm00001d031071	1
g1710	B01	175977654	175977852	-	7.762292318043694	82	Zm00001d031072	1
g1711	B01	175983728	175984174	-	10.364066339760043	138	Zm00001d031073	2
g1712	B01	175995681	175995858	-	0.8699025614732534	89	Zm00001d031074	1
g1713	B01	176192750	176192857	+	1.6076086598897377	13	Zm00001d031077	1
g1714	B01	176200700	176200721	+	0.36276655382965284	0	Zm00001d031078	1
g1715	B01	176345301	176345311	-	0.8326884133309376	2	Zm00001d031079	1
g1716	B01	176359633	176360426	-	17.465504098492737	654	Zm00001d031081	2
g1717	B01	176632714	176632934	-	3.932452663042158	100	Zm00001d031088	1
g1718	B01	176660916	176661111	-	1.8956596280505544	64	Zm00001d031090	1
g1719	B01	176875523	176875863	-	5.125577369425815	297	Zm00001d031092	2
g1720	B01	176923134	176923673	+	14.369461929782455	422	Zm00001d031093	3
g1721	B01	176989086	176989094	-	0.21524626376484363	6	Zm00001d031094	1
g1722	B01	177080563	177080570	-	1.216699625587532	0	ENSRNA049471804	1
g1723	B01	177162974	177163126	-	8.476388685681046	66	Zm00001d031098	1
g1724	B01	177234913	177234978	+	0.4355533576968585	56	Zm00001d031100	1
g1725	B01	177236787	177243006	-	161.55030399143624	77	Zm00001d031101	4
g1726	B01	177577709	177578031	+	11.023650145180772	89	Zm00001d031109	1
g1727	B01	177826451	177829414	-	5.585381229986375	2877	Zm00001d031115	2
g1728	B01	177976655	177976828	+	5.252086981292458	103	Zm00001d031118	1
g1729	B01	178025365	178025651	-	15.275424105650298	148	Zm00001d031120	1
g1730	B01	178718868	178719048	-	2.846494171559884	126	Zm00001d031127	2
g1731	B01	178799386	178802163	+	23.37385840339829	2309	Zm00001d031128	9
g1732	B01	178804513	178805598	-	28.36423969273998	513	Zm00001d031129	1
g1733	B01	178922019	178922303	+	6.9995804333359395	147	Zm00001d031131	1
g1734	B01	178997745	178997997	-	66.70931770037909	55	Zm00001d031132	1
g1735	B01	179005354	179005446	+	2.4338426307669985	36	Zm00001d031135	1
g1736	B01	179014710	179015191	-	35.43578881050968	27	Zm00001d031136	2
g1737	B01	179594065	179594100	-	0.9575242370586232	5	Zm00001d031145	1
g1738	B01	179744666	179744823	+	18.979314632814663	73	Zm00001d031149	1
g1739	B01	179774881	179774903	-	6.549338620035952	3	Zm00001d031152	1
g1740	B01	179967184	179967249	-	42.94590370930381	8	Zm00001d031158	1
g1741	B01	180196428	180196668	+	6.051133353306321	116	Zm00001d031159	1
g1742	B01	180277232	180277557	+	14.585994270195906	3	Zm00001d031161	2
g1743	B01	180295456	180295682	-	13.018012772235798	62	Zm00001d031163	1
g1744	B01	180447897	180448117	-	764.0402065854946	0	Zm00001d031168	1
g1745	B01	181310089	181310296	+	4.982034910049985	92	Zm00001d031178	1
g1746	B01	181317306	181317458	-	13.875352699633508	46	Zm00001d031179	1
g1747	B01	181575281	181575721	+	20.035790262534213	300	Zm00001d031182	2
g1748	B01	181584711	181584733	-	0.2865241997426448	9	Zm00001d031183	1
g1749	B01	181632366	181632490	-	2.077425976207593	66	Zm00001d031186	1
g1750	B01	181636111	181636230	-	1.0150859362557718	77	Zm00001d031187	1
g1751	B01	181715161	181715186	+	0.9706362217763128	25	Zm00001d022868	1
g1752	B01	181717990	181718377	-	6.547149960857456	128	Zm00001d031191	2
g1753	B01	181718937	181718995	+	13.71894252113197	5	Zm00001d031192	1
g1754	B01	181836087	181836092	+	0.43040362399380144	2	Zm00001d031194	1
g1755	B01	181857796	181857937	+	0.33343614984242365	102	Zm00001d031195	1
g1756	B01	181951109	181951990	+	3.1027796345140812	838	Zm00001d031200	2
g1757	B01	181971432	181971604	-	3.1256152026892337	72	Zm00001d031201	1
g1758	B01	181979880	181979969	-	10.278094340076501	26	Zm00001d031203	1
g1759	B01	181983811	181983958	-	1.6199249325005567	86	Zm00001d031204	1
g1760	B01	182006628	182006849	-	17.73487856111722	21	Zm00001d031205	1
g1761	B01	182293075	182293370	+	71.28208709031007	58	Zm00001d031209	1
g1762	B01	182329515	182329617	+	3.4854353259392297	34	Zm00001d031210	1
g1763	B01	182340136	182340221	-	0.7213363534096249	75	Zm00001d031211	1
g1764	B01	182379075	182379240	+	7.762070211262487	29	Zm00001d031212	2
g1765	B01	182386357	182386850	-	3.8229766669999763	315	Zm00001d031213	2
g1766	B01	182480636	182480741	+	0.9935568009747083	96	Zm00001d031216	1
g1767	B01	182492242	182492555	-	4.550085708052527	154	Zm00001d031217	1
g1768	B01	182578425	182578623	-	3.7369352447595063	99	Zm00001d031220	1
g1769	B01	182581007	182581082	-	3.7359862629894813	5	Zm00001d031221	1
g1770	B01	182596838	182597791	-	46.574452274181496	275	Zm00001d031222	2
g1771	B01	182656945	182657316	+	46.145767606156866	71	Zm00001d031223	1
g1772	B01	182663216	182663238	-	0.9000183049249333	4	Zm00001d031224	1
g1773	B01	182704265	182704530	+	42.24866982185777	6	Zm00001d031227	1
g1774	B01	182801857	182802053	+	17.968238192218315	53	Zm00001d031229	1
g1775	B01	182827278	182827545	-	21.17183881437006	68	Zm00001d031231	1
g1776	B01	182943041	182943202	-	5.878085866003659	58	Zm00001d031232	1
g1777	B01	183190095	183190100	+	0.47004775014178746	1	Zm00001d031236	1
g1778	B01	183244427	183244657	-	3.6124505999163072	44	Zm00001d031239	1
g1779	B01	183455939	183455993	-	0.3814143489604605	5	Zm00001d031244	1
g1780	B01	183598942	183599036	+	3.7221881264296166	37	Zm00001d031248	1
g1781	B01	183891819	183892131	-	203.9653219177145	4	Zm00001d031253	1
g1782	B01	183895122	183895251	+	1.9106639047908545	80	Zm00001d031254	1
g1783	B01	184086525	184086831	+	19.48164040507895	198	Zm00001d031256	1
g1784	B01	184107284	184108019	-	124.0448421255175	144	Zm00001d031257	2
g1785	B01	184110749	184113555	-	60.82990555840778	2396	Zm00001d031258	2
g1786	B01	184115551	184115682	-	8.834106047057583	50	Zm00001d031259	1
g1787	B01	184229215	184229348	+	2.2654112291209416	55	Zm00001d031261	1
g1788	B01	184284900	184285284	+	1.577806025029883	356	Zm00001d031264	2
g1789	B01	184295795	184295992	-	1.304301592764304	148	Zm00001d031265	1
g1790	B01	184358569	184358852	+	3.56732441811871	169	Zm00001d031266	1
g1791	B01	184397463	184397839	+	3.677683285369266	252	Zm00001d031267	2
g1792	B01	184422751	184423144	+	11.01527151414876	139	Zm00001d031268	1
